;country_i;country_j;dist;pop_i_mean;pop_j_mean;gni_i_mean;gni_j_mean;country_flow;dist_pop
364;AFG;JAM;13173;25913988,4;2700303,6;415;4322;0;13173
365;AFG;JOR;3096;25913988,4;6328181;415;2800;4;3096
366;AFG;JPN;6282;25913988,4;127947600;415;39958;0;6282
367;AFG;KAZ;1177;25913988,4;15561813,2;415;4934;567;1177
368;AFG;KEN;5206;25913988,4;38071279;415;696;0;5206
369;AFG;KGZ;1038;25913988,4;5270280;415;636;12;1038
370;AFG;KHM;4420;25913988,4;13707756,2;415;588;0;4420
371;AFG;KIR;11192;25913988,4;102041,4;415;1732;NA;11192
372;AFG;KNA;12350;25913988,4;47011,2;415;13812;NA;12350
373;AFG;KOR;5137;25913988,4;48733806,8;415;21732;7;5137
374;AFG;KWT;2079;25913988,4;2510412,2;415;44598;104;2079
375;AFG;LAO;3784;25913988,4;6041340,4;415;638;0;3784
376;AFG;LBN;3091;25913988,4;4802252,8;415;5558;0;3091
377;AFG;LBR;8700;25913988,4;3608681,6;415;324;0;8700
378;AFG;LBY;5125;25913988,4;6099418,6;415;9806;37;5125
379;AFG;LCA;12496;25913988,4;167527,6;415;7514;0;12496
380;AFG;LIE;5091;25913988,4;35143,6;415;109694;NA;5091
381;AFG;LKA;3246;25913988,4;20078269,4;415;1562;0;3246
382;AFG;LSO;8315;25913988,4;1988370,4;415;1188;0;8315
383;AFG;LTU;4046;25913988,4;3236975,6;415;10420;10;4046
384;AFG;LUX;5310;25913988,4;480844,2;415;77386;0;5310
385;AFG;LVA;4186;25913988,4;2195294,4;415;11038;17;4186
386;AFG;MAC;4520;25913988,4;515574,2;415;30152;0;4520
387;AFG;MAR;6902;25913988,4;31235085,2;415;2706;0;6902
388;AFG;MCO;5312;25913988,4;32047,6;415;NA;NA;5312
389;AFG;MDA;3626;25913988,4;2875659,4;415;1532;63;3626
390;AFG;MDG;6343;25913988,4;19939623,8;415;384;0;6343
391;AFG;MDV;3390;25913988,4;326493;415;4776;0;3390
392;AFG;MEX;13907;25913988,4;108273216,4;415;9418;2;13907
393;AFG;MHL;10676;25913988,4;53998,4;415;3508;NA;10676
394;AFG;MKD;4204;25913988,4;2043642,2;415;3802;0;4204
395;AFG;MLI;8058;25913988,4;14093751,2;415;536;0;8058
396;AFG;MLT;4912;25913988,4;407544,4;415;18062;1;4912
397;AFG;MMR;3327;25913988,4;48400742,8;415;418;0;3327
398;AFG;MNE;;25913988,4;616084,8;415;5262;0;NA
399;AFG;MNG;3449;25913988,4;2609348;415;1396;0;3449
400;AFG;MNP;7853;25913988,4;63044,6;415;NA;NA;7853
401;AFG;MOZ;7728;25913988,4;21301968;415;470;0;7728
402;AFG;MRT;8462;25913988,4;3160609,8;415;1242;1;8462
403;AFG;MSR;12355;25913988,4;NA;415;NA;NA;12355
